,stand,hit,double down,split,surrender
upcard: 9 hand: 8 cv bin: 1,-51.02685624012638,-21.130175307721093,-92.5925925925926,0.0,0
upcard: 9 hand: 13 cv bin: 1,-50.99009900990094,-38.42409892133618,-86.17363344051446,0.0,0
upcard: 6 hand: 10 cv bin: 1,-12.785388127853885,34.8393574297189,66.10341503019161,0.0,0
upcard: 7 hand: 7 cv bin: 2,-51.11821086261981,-7.054222393896977,-43.70709382151031,0.0,0
upcard: 5 hand: 20 cv bin: 2,70.06112746207882,-81.81818181818181,-200.0,-55.932203389830505,0
upcard: 10 hand: 13 cv bin: 2,-55.48135781858657,-46.32519565212637,-86.4224137931034,0.0,0
upcard: 10 hand: 17 cv bin: 2,-43.68604002645977,-61.55638397017697,-107.44680851063829,0.0,0
upcard: 10 hand: 20 cv bin: 2,54.889498505070584,-85.0,-164.7058823529412,-19.565217391304348,0
upcard: 10 hand: 21 cv bin: 2,96.61535417792125,-105.26315789473684,0.0,0.0,0
upcard: 8 hand: 8 cv bin: 2,-53.14685314685315,-6.359198355601251,-58.02469135802469,0.0,0
upcard: 8 hand: 20 cv bin: 2,80.24689490325284,-109.0909090909091,-169.23076923076923,-96.42857142857143,0
upcard: 8 hand: 14 cv bin: 2,-55.078000636739894,-41.980452625168304,-80.96280087527354,0.0,0
upcard: 8 hand: 17 cv bin: 2,-40.746328371147904,-52.38699847638391,-90.3780068728523,0.0,0
upcard: 4 hand: 20 cv bin: 1,65.2770493602782,-69.04761904761905,-116.66666666666667,41.952506596306065,0
upcard: 4 hand: J J cv bin: 1,64.91090659878601,-92.85714285714286,-169.23076923076923,37.64705882352939,0
upcard: 4 hand: A 10 cv bin: 1,106.20028922631973,8.955223880597016,90.67460317460315,0.0,0
upcard: 4 hand: 15 cv bin: 1,-18.177424032481778,-43.686354378818706,-102.85714285714286,0.0,0
upcard: 10 hand: 12 cv bin: 0,-52.65649658074699,-33.72611431402181,-101.18343195266272,0.0,0
