,stand,hit,double down,split,surrender
upcard: 4 hand: 12 cv bin: 0,-25.79190751445086,-20.442730526674612,-36.23188405797099,0.0,0
upcard: 5 hand: 12 cv bin: 1,-13.070486164587523,-18.413136124341992,-30.181818181818173,0.0,0
upcard: 5 hand: 18 cv bin: 1,20.70966724491394,-66.66666666666667,-112.1951219512195,0.0,0
upcard: 10 hand: 15 cv bin: 2,-55.405038316367474,-55.881996607705524,-105.86080586080588,0.0,0
upcard: 10 hand: 16 cv bin: 1,-53.77562393990793,-53.6193140779239,-116.85393258426966,0.0,0
upcard: 9 hand: A 9 cv bin: 0,75.74912171936346,4.201680672268908,-1.96078431372549,0.0,0
upcard: 8 hand: 13 cv bin: 0,-54.74006116207948,-30.464751245478748,-73.8372093023256,0.0,0
upcard: 5 hand: 15 cv bin: 0,-20.751842033855773,-36.277445109780466,-79.08163265306122,0.0,0
upcard: 8 hand: 12 cv bin: 1,-51.3611615245009,-28.934674348208155,-69.0355329949239,0.0,0
upcard: 8 hand: 4 4 cv bin: 1,-44.642857142857125,-5.080091533180783,-51.9774011299435,-66.66666666666669,0
upcard: 2 hand: 13 cv bin: 0,-33.24673339955679,-29.651286866703632,-63.84615384615385,0.0,0
upcard: A hand: 16 cv bin: 1,-56.874122601778105,-53.39941048812878,-108.41121495327104,0.0,0
upcard: 7 hand: 13 cv bin: 1,-49.12280701754389,-28.148928696873913,-65.359477124183,0.0,0
upcard: 7 hand: 16 cv bin: 1,-48.37624095574623,-40.81679875050573,-99.99999999999996,0.0,0
upcard: 10 hand: 18 cv bin: 1,-16.98303197540757,-73.75565610859734,-143.47826086956522,0.0,0
upcard: 2 hand: 20 cv bin: 1,62.95169093097731,-100.0,-166.66666666666666,6.278026905829593,0
upcard: 6 hand: 20 cv bin: 1,68.73036362307978,-83.87096774193547,-133.33333333333334,-300.0,0
upcard: 10 hand: 15 cv bin: 0,-52.04557786218123,-44.8475176799697,-87.56476683937824,0.0,0
upcard: 4 hand: A 4 cv bin: 0,-11.607142857142843,2.6795580110497266,2.8855402372555328,0.0,0
upcard: 3 hand: 11 cv bin: 0,-22.907488986784156,22.8850758180367,44.66750313676302,0.0,0
upcard: 10 hand: 17 cv bin: 0,-39.72122110066268,-55.253695565321664,-109.45945945945944,0.0,0
upcard: 10 hand: 20 cv bin: 0,57.98574576641329,-81.57894736842105,-200.0,-42.10526315789474,0
upcard: 10 hand: A 7 cv bin: 1,-16.193979933110327,-14.57519116397621,-41.903409090909086,0.0,0
upcard: 2 hand: 16 cv bin: 0,-32.4137498955808,-46.198587453261275,-100.0,0.0,0
upcard: A hand: 13 cv bin: 1,-65.3883972468043,-42.41479792220929,-78.10526315789473,0.0,0
upcard: 2 hand: 12 cv bin: 2,-24.331453150996303,-25.189880334408,-52.71084337349398,0.0,0
upcard: 10 hand: 11 cv bin: 2,-56.349206349206334,14.854159164566077,23.481707251402955,0.0,0
upcard: 6 hand: 20 cv bin: 2,70.69560818983474,-92.85714285714286,-176.92307692307693,-25.000000000000004,0
upcard: A hand: 12 cv bin: 1,-64.5833333333333,-38.6093421160519,-87.54716981132079,0.0,0
upcard: A hand: 14 cv bin: 1,-58.608815426997225,-46.90852931613757,-103.98009950248752,0.0,0
upcard: 10 hand: A 9 cv bin: 1,55.90013742556111,-8.695652173913043,-12.5,0.0,0
upcard: 10 hand: A 5 cv bin: 1,-48.80744618964516,-21.091827695941664,-56.83297180043384,0.0,0
upcard: 6 hand: 11 cv bin: 0,-16.826923076923073,30.745634733364785,59.05465288035455,0.0,0
upcard: 6 hand: 20 cv bin: 0,66.89503687045685,-93.10344827586206,-171.42857142857142,-227.27272727272728,0
upcard: 5 hand: 12 cv bin: 0,-20.132058918594513,-19.058194927256455,-31.457600625244236,0.0,0
upcard: 10 hand: 12 cv bin: 0,-53.80774032459424,-34.056244169000365,-76.50130548302869,0.0,0
upcard: 6 hand: 19 cv bin: 1,48.20158435867185,-91.89189189189189,-142.85714285714286,0.0,0
upcard: 7 hand: 20 cv bin: 1,77.23958505948997,-100.0,-137.5,42.528735632183924,0
upcard: 7 hand: 21 cv bin: 1,92.8612096526951,-111.11111111111111,0.0,0.0,0
upcard: 7 hand: 19 cv bin: 1,62.519221897585744,-90.3225806451613,-200.0,0.0,0
upcard: 6 hand: 14 cv bin: 1,-10.053817771615273,-30.14018691588784,-66.82926829268293,0.0,0
upcard: 10 hand: 12 cv bin: 2,-55.31295487627367,-40.62669965945476,-72.5637181409296,0.0,0
upcard: 4 hand: 7 cv bin: 1,-26.83307332293292,-0.9200793793974356,-26.138032305433196,0.0,0
upcard: 6 hand: 11 cv bin: 2,-14.43298969072165,50.923076923076934,89.4559526519462,0.0,0
upcard: 6 hand: 16 cv bin: 2,-3.2175112895132947,-51.08695652173915,-61.34020618556701,0.0,0
upcard: 4 hand: 11 cv bin: 2,-13.19444444444445,36.292223095051014,78.77894115912063,0.0,0
upcard: 4 hand: 17 cv bin: 2,0.18936275316976722,-49.446494464944635,-115.09433962264151,0.0,0
upcard: A hand: 7 cv bin: 2,-70.8791208791209,-35.167843250252,-111.88118811881188,0.0,0
upcard: A hand: 12 cv bin: 2,-61.38448707256047,-40.8673150709379,-81.62162162162163,0.0,0
upcard: A hand: 13 cv bin: 2,-62.049549549549575,-45.87340944388433,-116.05839416058394,0.0,0
upcard: 2 hand: 15 cv bin: 2,-22.23931826251635,-45.702730030333704,-101.8348623853211,0.0,0
upcard: 2 hand: 18 cv bin: 2,12.621302975000708,-70.00000000000004,-190.9090909090909,0.0,0
upcard: 10 hand: 17 cv bin: 2,-44.14339362588285,-62.162162162162176,-113.15789473684211,0.0,0
upcard: 10 hand: 13 cv bin: 2,-55.568407138136116,-46.21000893655094,-105.33980582524273,0.0,0
upcard: 7 hand: 9 cv bin: 2,-43.410852713178265,24.195470798569684,25.485166183359368,0.0,0
upcard: 7 hand: 19 cv bin: 2,65.19983769527282,-65.11627906976746,-178.57142857142858,0.0,0
upcard: A hand: 10 cv bin: 1,-62.686567164179074,4.731468415373112,-3.60666893501191,0.0,0
upcard: A hand: 20 cv bin: 1,61.57037425215077,-96.55172413793103,-166.66666666666666,-14.173228346456694,0
upcard: 10 hand: 13 cv bin: 1,-55.908798972382804,-42.15877783818135,-89.80891719745217,0.0,0
upcard: 5 hand: 16 cv bin: 2,-4.315476190476214,-42.47572815533979,-115.51724137931035,0.0,0
upcard: 2 hand: 16 cv bin: 2,-24.490221099507767,-52.742616033755276,-113.48314606741573,0.0,0
upcard: 10 hand: 20 cv bin: 2,54.98336773789015,-86.48648648648648,-200.0,-19.25925925925926,0
upcard: 8 hand: 16 cv bin: 1,-51.15384615384624,-45.622818390346346,-105.94594594594595,0.0,0
upcard: 8 hand: 19 cv bin: 1,58.55860756051127,-90.9090909090909,-166.66666666666666,0.0,0
upcard: 10 hand: 11 cv bin: 1,-53.246753246753244,11.060720584530111,18.03910112845836,0.0,0
upcard: A hand: 17 cv bin: 2,-43.83671567612356,-65.23642732049028,-120.16806722689078,0.0,0
upcard: 4 hand: 12 cv bin: 1,-19.258354473989126,-21.345047721383008,-34.59488272921112,0.0,0
upcard: 6 hand: 4 4 cv bin: 1,-5.9479553903345765,16.45728643216081,16.862745098039234,20.07759456838021,0
upcard: 9 hand: 18 cv bin: 2,-22.90203525870705,-66.96696696696691,-124.6376811594203,0.0,0
upcard: 4 hand: 15 cv bin: 1,-18.79997312369824,-38.19241982507289,-107.77777777777774,0.0,0
upcard: 10 hand: 14 cv bin: 1,-55.61591028561418,-45.96270912060373,-94.94949494949498,0.0,0
upcard: 6 hand: 11 cv bin: 1,-9.743589743589743,34.05692233478045,72.8536949775883,0.0,0
upcard: 10 hand: 17 cv bin: 1,-41.85102513939969,-56.79881437569468,-126.66666666666667,0.0,0
upcard: 3 hand: A A cv bin: 1,-8.7378640776699,3.8709677419354853,10.416666666666673,56.73316708229429,0
upcard: 9 hand: 11 cv bin: 0,-39.90825688073393,11.819616994989405,12.464772193518098,0.0,0
upcard: 9 hand: A 8 cv bin: 1,29.629259518337175,-7.458563535911604,4.14746543778802,0.0,0
upcard: 3 hand: 19 cv bin: 1,39.5336969349028,-75.47169811320757,-100.0,0.0,0
upcard: 4 hand: A 2 cv bin: 0,-8.823529411764712,8.89767671774592,5.511811023622052,0.0,0
upcard: 4 hand: 13 cv bin: 0,-25.105254051560067,-25.748025516403448,-49.44933920704848,0.0,0
upcard: 5 hand: 7 cv bin: 0,-16.976604679064142,-3.1925532733287207,-16.523727844482572,0.0,0
upcard: 5 hand: 17 cv bin: 0,-10.250553548537505,-50.78947368421051,-138.63636363636363,0.0,0
upcard: 10 hand: 19 cv bin: 1,7.617081995617393,-66.92307692307689,-116.3265306122449,0.0,0
upcard: 10 hand: 20 cv bin: 1,56.44825816044758,-84.21052631578948,-127.27272727272727,-360.0,0
upcard: 3 hand: 16 cv bin: 0,-29.765376746615598,-43.492723492723485,-80.23255813953492,0.0,0
upcard: 3 hand: 17 cv bin: 0,-16.213696520135397,-48.52686308492196,-108.33333333333333,0.0,0
upcard: 2 hand: 15 cv bin: 1,-28.738610716375437,-42.57343814646253,-76.12456747404846,0.0,0
upcard: 4 hand: A 6 cv bin: 1,4.054054054054055,7.639208467556377,11.665461557001677,0.0,0
upcard: 4 hand: A 7 cv bin: 1,23.998397435897452,7.4183976261127595,30.44982698961942,0.0,0
upcard: 3 hand: 14 cv bin: 1,-23.782126856873454,-34.27762039660062,-64.3979057591623,0.0,0
upcard: 3 hand: 15 cv bin: 1,-22.64439985328056,-41.68421052631576,-100.89285714285714,0.0,0
upcard: 10 hand: 7 cv bin: 2,-52.58342303552208,-36.5700641415793,-104.76190476190473,0.0,0
upcard: 10 hand: 16 cv bin: 2,-55.72098064845231,-58.36055329905997,-141.83673469387756,0.0,0
upcard: 7 hand: 20 cv bin: 2,79.55532558759434,-100.0,-181.8181818181818,13.83647798742139,0
