,stand,hit,double down,split,surrender
upcard: 6 hand: 11,-14.81481481,39.02439024,71.96165612,0,-50
upcard: 6 hand: 20,68.69518138,-84.375,-141.1764706,-433.3333333,-50
upcard: 4 hand: 3 3,-19.60784314,-6.110201855,-64,5.7300993,-50
upcard: 4 hand: A 6,-7.129094412,5.802310655,16.8801535,0,-50
upcard: 4 hand: A 8,44.52931296,17.39130435,26.76659529,0,-50
upcard: 4 hand: 19,41.94144025,-71.42857143,-155,0,-50
upcard: 8 hand: A 8,60.9718653,14.53287197,-3.105590062,0,-50
upcard: 8 hand: 18,10.3299465,-57.79220779,-83.52941176,0,-50
upcard: 5 hand: 19,45.64767078,-66.66666667,-157.8947368,0,-50
upcard: 6 hand: 14,-11.47396705,-31.65322581,-71.57360406,0,-50
upcard: 3 hand: 10,-27.18894009,22.59782357,43.97315996,0,-50
upcard: 10 hand: 9,-58.0474934,-15.1223625,-41.25514403,0,-50
upcard: 10 hand: A 3,-40.75810864,-13.52903724,-39.41010355,0,-50
upcard: 10 hand: 14,-53.79740759,-46.36470329,-94.58598726,0,-50
upcard: 10 hand: 12,-53.29407435,-37.72650085,-73.69369369,0,-50
upcard: 10 hand: 19,7.048700291,-69.84126984,-148.3870968,0,-50
upcard: 2 hand: 6 6,-27.49169435,-25.77171572,-61.97183099,-9.229242474,-50
upcard: 5 hand: 12,-14.33738721,-17.8317124,-38.02816901,0,-50
upcard: 3 hand: 8,-21.93419741,1.120479254,-12.92792793,0,-50
upcard: 9 hand: 9,-54.16666667,-6.331937731,-24.46220037,0,-50
upcard: 9 hand: J J,75.44571499,-85.18518519,-129.4117647,-1.904761905,-50
upcard: 6 hand: 12,-13.2486792,-16.7877172,-33.815427,0,-50
upcard: 10 hand: 18,-17.47355385,-73.19148936,-142.8571429,0,-50
upcard: 3 hand: 14,-24.12922802,-36.96172249,-76.44787645,0,-50
upcard: 9 hand: 15,-58.25331504,-47.13864144,-115.8940397,0,-50
upcard: 4 hand: 6 6,-20.34853921,-19.7110904,-50.1607717,6.870229008,-50
upcard: 4 hand: 11,-10.2310231,30.93897253,61.49545597,0,-50
upcard: 4 hand: 21,89.29941892,-111.1111111,0,0,-50
upcard: 4 hand: 14,-18.8764901,-35.31073446,-56.45833333,0,-50
upcard: 10 hand: A 6,-33.06330633,-19.5170905,-38.17554619,0,-50
upcard: 5 hand: 9,-11.88811189,20.32266458,31.57134906,0,-50
upcard: A hand: 16,-55.53091125,-53.50407925,-115.2173913,0,-50
upcard: 6 hand: 9,-12.08226221,21.45208803,36.66212534,0,-50
upcard: 6 hand: 19,47.22091657,-65.51724138,-200,0,-50
upcard: 4 hand: J J,64.86706457,-100,-169.2307692,45.85635359,-50
upcard: 5 hand: 18,20.94058646,-68.13186813,-106.6666667,0,-50
upcard: 8 hand: 14,-50.84345479,-36.99086376,-82.63473054,0,-50
upcard: 4 hand: A 3,-10.12658228,9.834355028,12.31900712,0,-50
upcard: 4 hand: 17,-6.534816186,-68.68131868,-211.1111111,0,-50
upcard: 3 hand: 20,64.38634941,-82.35294118,-160,-2.51572327,-50
upcard: 7 hand: 15,-49.73886329,-36.53187268,-78.77237852,0,-50
upcard: 6 hand: A A,43.25,14.28571429,56.04719764,100.0124657,-50
upcard: 6 hand: A 4,-7.216494845,14.21098518,25.99079874,0,-50
