,result,A,2,3,4,5,6,7,8,9,10,J,Q,K
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,1,0,0,2,0,1,0,1,0
2,0,0,1,0,1,1,1,0,2,0,1,1,2,0
3,0,0,1,0,2,2,1,0,3,0,2,2,2,0
4,0,1,1,1,4,2,1,0,3,3,2,3,2,0
5,0,2,1,1,4,3,1,1,3,3,2,3,2,1
6,0,4,3,1,4,3,2,2,3,3,3,3,2,1
7,1,4,3,2,4,3,3,2,3,4,3,3,2,2
8,1,4,3,2,4,3,3,2,4,4,4,4,2,3
9,0,4,3,3,4,4,4,3,4,4,4,4,3,4
10,1,1,1,1,0,0,0,2,0,0,1,0,1,0
11,0,1,2,1,0,0,1,3,1,1,2,0,1,0
12,1,1,3,1,1,1,1,3,1,2,2,0,2,0
13,0,1,3,1,1,1,1,3,2,2,2,2,2,1
14,1,3,4,3,1,1,3,3,2,2,2,2,2,2
15,1,4,4,3,1,1,3,3,3,4,2,2,2,2
16,1,4,4,3,1,1,4,3,3,4,3,3,3,3
18,1,0,0,0,0,0,0,0,0,0,0,0,0,0
19,0,1,0,0,0,0,0,0,1,1,0,0,0,1
20,1,1,0,1,1,0,1,0,1,2,0,1,0,1
21,1,1,2,1,1,0,1,0,2,3,1,1,1,1
22,0,1,3,3,1,0,3,0,2,3,1,2,2,1
24,1,3,3,4,3,1,3,2,3,3,1,3,2,2
25,1,3,3,4,3,1,4,2,4,3,2,4,3,2
26,0,4,3,4,3,4,4,2,4,3,3,4,4,3
27,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,0,0,0,0,1,0,1,1,0,0,1,0,1,0
29,0,2,0,1,1,1,2,1,0,0,1,0,2,0
30,1,2,0,1,1,2,2,2,0,1,1,1,2,1
31,0,3,0,1,1,2,2,3,0,2,1,1,3,1
32,0,3,0,1,1,2,3,3,2,2,1,2,3,2
33,1,3,0,1,1,3,3,3,2,4,1,4,3,2
34,0,3,0,1,1,3,4,4,3,4,3,4,3,2
35,0,3,2,3,2,3,4,4,3,4,3,4,3,4
36,0,4,4,3,3,4,4,4,4,4,3,4,3,4
37,0,1,0,1,1,0,0,0,0,0,1,0,1,0
38,1,1,0,3,2,1,1,0,0,0,1,1,1,0
39,0,1,1,3,2,1,2,0,0,2,1,1,1,1
40,0,1,1,3,2,1,2,1,1,2,2,1,2,1
41,0,1,1,3,3,2,3,1,1,2,3,2,2,1
42,1,1,1,3,3,2,4,2,2,2,3,2,3,2
43,0,1,3,3,4,3,4,2,3,2,4,2,3,3
44,0,3,3,3,4,3,4,2,4,3,4,3,3,3
45,0,4,4,3,4,3,4,2,4,3,4,3,4,4
46,1,0,0,0,0,0,0,0,0,0,0,0,0,0
47,0,0,1,1,1,1,0,3,1,0,0,0,0,0
48,1,0,1,2,1,1,1,3,2,0,1,0,0,1
50,1,1,2,2,2,1,2,3,2,2,2,0,1,2
