upcard,hand,odds
2,"2,A",0.043477
2,"3,A",0.020601
2,"3,2",-0.126538
2,"4,A",-0.004415
2,"4,2",-0.141992
2,"4,3",-0.114432
2,"5,A",-0.024758
2,"5,2",-0.104443
2,"5,3",-0.020915
2,"5,4",0.086204
2,"6,A",0.002585
2,"6,2",-0.019699
2,"6,3",0.084527
2,"6,4",0.39348
2,"6,5",0.517177
2,"7,A",0.119481
2,"7,2",0.086424
2,"7,3",0.389953
2,"7,4",0.505427
2,"7,5",-0.253303
2,"7,6",-0.273062
2,"8,A",0.386326
2,"8,2",0.388165
2,"8,3",0.500498
2,"8,4",-0.256746
2,"8,5",-0.273021
2,"8,6",-0.274499
2,"8,7",-0.276313
2,"9,A",0.643124
2,"9,2",0.495811
2,"9,3",-0.260052
2,"9,4",-0.28317
2,"9,5",-0.275138
2,"9,6",-0.276866
2,"9,7",-0.278447
2,"9,8",-0.148342
2,"10,A",1.5
2,"10,2",-0.249031
2,"10,3",-0.295261
2,"10,4",-0.294887
2,"10,5",-0.28708
2,"10,6",-0.288567
2,"10,7",-0.158751
2,"10,8",0.108622
2,"10,9",0.377408
3,"2,A",0.07291
3,"3,A",0.048392
3,"3,2",-0.093791
3,"4,A",0.027319
3,"4,2",-0.103414
3,"4,3",-0.077893
3,"5,A",0.004684
3,"5,2",-0.068809
3,"5,3",0.012528
3,"5,4",0.15681
3,"6,A",0.063928
3,"6,2",0.013827
3,"6,3",0.153057
3,"6,4",0.452894
3,"6,5",0.571561
3,"7,A",0.179646
3,"7,2",0.154799
3,"7,3",0.448288
3,"7,4",0.563012
3,"7,5",-0.227715
3,"7,6",-0.229096
3,"8,A",0.405716
3,"8,2",0.443322
3,"8,3",0.552896
3,"8,4",-0.231174
3,"8,5",-0.229812
3,"8,6",-0.231449
3,"8,7",-0.233079
3,"9,A",0.6439
3,"9,2",0.528002
3,"9,3",-0.244286
3,"9,4",-0.243398
3,"9,5",-0.242282
3,"9,6",-0.243671
3,"9,7",-0.245316
3,"9,8",-0.12098
3,"10,A",1.5
3,"10,2",-0.226933
3,"10,3",-0.253531
3,"10,4",-0.245696
3,"10,5",-0.244333
3,"10,6",-0.245737
3,"10,7",-0.120718
3,"10,8",0.137349
3,"10,9",0.387781
4,"2,A",0.107026
4,"3,A",0.087059
4,"3,2",-0.048353
4,"4,A",0.07425
4,"4,2",-0.060899
4,"4,3",-0.029323
4,"5,A",0.063048
